"Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64))"
"HDI Rank (2015)","Country","1990","1995","2000","2005","2010","2015"
"84"," Ukraine","18.0 iii","20.3 iii","20.0 iii","22.9 iii","22.8 iii","21.9 iii"
"42"," United Arab Emirates","1.7","1.4","1.4","1.1","0.8","1.3"
"16"," United Kingdom","24.1","24.5","24.3","24.2","24.5","27.6"
"10"," United States","19.0","19.2","18.5","18.3","19.4","22.3"
"54"," Uruguay","18.7","19.9","21.0","21.6","21.9","22.5"
"105"," Uzbekistan","7.3","8.0","8.0","8.2","7.1","7.0"
"134"," Vanuatu","6.8","6.5","6.1","5.8","6.8","7.1"
"71"," Venezuela (Bolivarian Republic of)","6.3","6.6","7.1","7.7","8.5","9.5"
"115"," Viet Nam","10.1","10.1","10.4","9.9","9.4","9.6"
"168"," Yemen","5.5","6.8","5.7","4.8","4.6","4.9"
"139"," Zambia","5.4","5.4","5.4","5.7","5.8","5.7"
"154"," Zimbabwe","5.8","5.9","5.9","5.9","5.8","5.3"
"k: Includes Christmas Island, Cocos (Keeling) Islands and Norfolk Island.u: Includes Nagorno-Karabakh.bb: Includes Northern Cyprus.i: Includes Aland Islands.v: Includes Abkhazia and South Ossetia.t: Includes Sabah and Sarawak.h: Includes Agalega, Rodrigues and Saint Brandon.x: Includes Transnistria.j: Includes Svalbard and Jan Mayen Islands. w: Includes East Jerusalem. y: Includes Kosovo.z: Includes Canary Islands, Ceuta and Melilla.s: Includes Zanzibar. iii: Includes Crimea."
